cod_grupo,cod_grupo_padre
GR000048,GR004369
GR000049,GR001809
GR000050,GR008079
GR000051,GR003633
GR000052,GR008548
GR000053,GR006592
GR000054,GR004298
GR000055,GR009375
GR000056,GR010068
GR000057,GR002793
GR000058,GR005361
GR000059,GR004077
GR000060,GR009851
GR000061,GR003275
GR000062,GR004630
GR000063,GR007224
GR000064,GR001054
GR000065,GR000358
GR000066,GR003721
GR000067,GR008058
GR000068,GR000789
GR000069,GR002743
GR000070,GR000842
GR000071,GR008109
GR000072,GR000692
GR000073,GR009604
GR000074,GR004103
GR000075,GR004608
GR000076,GR009768
GR000077,GR000655
GR000078,GR007163
GR000079,GR001050
GR000080,GR003711
GR000081,GR001049
GR000082,GR005087
GR000083,GR004372
GR000084,GR007666
GR000085,GR004670
GR000086,GR008312
GR000087,GR003677
GR000088,GR005413
GR000089,GR001941
GR000090,GR005980
GR000091,GR008040
GR000092,GR002568
GR000093,GR008089
GR000094,GR007628
GR000095,GR001649
GR000096,GR000927
GR000097,GR004221
GR000098,GR008111
GR000099,GR003636
GR000100,GR005479
GR000101,GR003256
GR000102,GR008220
GR000103,GR010030
GR000104,GR004951
GR000105,GR009651
GR000106,GR001946
GR000107,GR004686
GR000108,GR008132
GR000109,GR003715
GR000110,GR006601
GR000111,GR005563
GR000112,GR000855
GR000113,GR007182
GR000114,GR008185
GR000115,GR007940
GR000116,GR006014
GR000117,GR000544
GR000118,GR004287
GR000119,GR008172
GR000120,GR003966
GR000121,GR002416
GR000122,GR000487
GR000123,GR004554
GR000124,GR008719
GR000125,GR003998
GR000126,GR000441
GR000127,GR007947
GR000128,GR001718
GR000129,GR006736
GR000130,GR005434
GR000131,GR009194
GR000132,GR001105
GR000133,GR002930
GR000134,GR009839
GR000135,GR007715
GR000136,GR010060
GR000137,GR000479
GR000138,GR007904
GR000139,GR001288
GR000140,GR007709
GR000141,GR004034
GR000142,GR009398
GR000143,GR009764
GR000144,GR002989
GR000145,GR004803
GR000146,GR004123
GR000147,GR000075
GR000148,GR008003
GR000149,GR007133
GR000150,GR001767
GR000151,GR002251
GR000152,GR009358
GR000153,GR000532
GR000154,GR008936
GR000155,GR002943
GR000156,GR007620
GR000157,GR002080
GR000158,GR000266
GR000159,GR002935
GR000160,GR004198
GR000161,GR004348
GR000162,GR000904
GR000163,GR007181
GR000164,GR002600
GR000165,GR007246
GR000166,GR006742
GR000167,GR004582
GR000168,GR008310
GR000169,GR003264
GR000170,GR002035
GR000171,GR007049
GR000172,GR005841
GR000173,GR009894
GR000174,GR004751
GR000175,GR008114
GR000176,GR009387
GR000177,GR005669
GR000178,GR002799
GR000179,GR005948
GR000180,GR006471
GR000181,GR010077
GR000182,GR009355
GR000183,GR002789
GR000184,GR007620
GR000185,GR001609
GR000186,GR004836
GR000187,GR008343
GR000188,GR005961
GR000189,GR001624
GR000190,GR009230
GR000191,GR002550
GR000192,GR009151
GR000193,GR005885
GR000194,GR000915
GR000195,GR001522
GR000196,GR004877
GR000197,GR008362
GR000198,GR006122
GR000199,GR001861
GR000200,GR005750
GR000201,GR008445
GR000202,GR008473
GR000203,GR008534
GR000204,GR003192
GR000205,GR007228
GR000206,GR000967
GR000207,GR007391
GR000208,GR008174
GR000209,GR009652
GR000210,GR008974
GR000211,GR000532
GR000212,GR001937
